epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,178.558,2.19133,3.56805,1.87946,0.30982,0.0868,0.06938,0.04087,1.82223,2.91252,1.68086,0.00997763,0.00332588,0.00997763,0.00332588,0.00997763,0.00332588,0.00997763,0.00332588
2,351.233,1.70713,2.61755,1.52395,0.20612,0.14256,0.0976,0.05739,1.68352,2.82226,1.57026,0.0197799,0.00659328,0.0197799,0.00659328,0.0197799,0.00659328,0.0197799,0.00659328
3,517.497,1.64359,2.48784,1.46833,0.2174,0.16824,0.1112,0.06452,1.68463,2.76972,1.54832,0.0293841,0.00979469,0.0293841,0.00979469,0.0293841,0.00979469,0.0293841,0.00979469
4,685.262,1.64508,2.4508,1.46145,0.24261,0.18532,0.134,0.08164,1.58705,2.37086,1.47641,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,857.483,1.57069,2.32367,1.40762,0.21673,0.17744,0.13413,0.08041,1.54435,2.46542,1.46309,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1038.89,1.52332,2.22041,1.37858,0.24264,0.23164,0.16606,0.10429,1.48175,2.19518,1.36739,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1144.02,1.49705,2.16965,1.36078,0.27895,0.23148,0.17501,0.10967,1.43513,2.12486,1.36727,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1229.59,1.46572,2.09898,1.33296,0.29851,0.25035,0.19395,0.12214,1.38066,2.02469,1.3233,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1314.36,1.44022,2.06912,1.32345,0.35741,0.24255,0.20346,0.1301,1.35326,2.00956,1.30435,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1399.74,1.4294,2.02569,1.30982,0.29934,0.25091,0.20212,0.12977,1.34964,1.94825,1.29915,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
